identyfikator;nazwisko;imie;data_urodzenia;kod_udzialu
1552;Fcbacka;Flawia;1955-8-21;101110
1553;Unbacki;Fabian;1983-11-23;011010
1554;Msbacki;Leon;1961-4-25;011000
1555;Osbacki;Sylwan;1962-2-6;100010
1556;Gkbacka;Bibiana;1973-11-21;000001
1557;Ebbacki;Tycjan;1982-6-19;110110
1558;Mlbacka;Kwieta;1988-2-3;010010
1559;Wlbacki;Lucjusz;1994-1-24;100000
1560;Khbacki;Antonin;1992-4-9;001001
1561;Usbacka;Diana;1996-11-23;010101
1562;Webacka;Julianna;1962-1-15;010000
1563;Bubacka;Klara;1970-5-31;111100
1564;Wkbacka;Nonna;1991-8-6;000100
1565;Upbacki;Rufus;1956-11-18;110100
1566;Fibacki;Augustyn;1956-8-26;010111
1567;Albacki;Floryn;1965-3-19;111100
1568;Aibacki;Modest;1953-6-25;010111
1569;Bjbacka;Kasjana;1999-10-9;010100
1570;Oebacka;Klaudia;1956-6-9;101110
1571;Dlbacka;Donata;1968-12-5;000000
1572;Gdbacki;Pawe³;1959-3-7;000110
1573;Mubacka;Dezyderia;1965-3-7;010111
1574;Osbacka;Kancjanela;1961-1-2;100011
1575;Hubacka;Pia;1955-11-4;100111
1576;Tkbacki;Cezary;1981-8-15;000110
1577;Hubacki;Tytus;1974-8-14;001010
1578;Slbacka;Hadrianna;1999-7-30;001010
1579;Ccbacki;Turybiusz;1986-10-12;100001
1580;Mjbacka;Leonia;1974-3-23;010001
1581;Pjbacka;Aurea;1961-12-5;010110
1582;Dtbacka;Ró¿a;1984-11-7;110110
1583;Bcbacka;Hilaria;1986-10-18;010101
1584;Acbacki;Montan;1991-7-2;011001
1585;Rnbacka;Gordiana;1960-4-28;010110
1586;Snbacki;Sekundyn;1996-10-20;111110
1587;Mjbacki;Wenancjusz;1977-8-2;001011
1588;Krbacki;B³a¿ej;1982-12-15;011011
1589;Dhbacka;Kaja;1958-1-30;010010
1590;Lcbacka;Hadrianna;1966-8-13;000110
1591;Ssbacka;Hortensja;1971-4-17;111001
1592;Rpbacki;Kajetan;1976-7-11;110010
1593;Ghbacki;Wiktorian;1954-5-29;011011
1594;Rmbacki;Tygriusz;1961-5-29;111011
1595;Mlbacki;Honoryn;1985-12-12;111101
1596;Lmbacki;Fereol;1984-8-10;101001
1597;Asbacki;Klemens;1974-8-1;010110
1598;Gkbacki;Sekundyn;1978-12-6;110101
1599;Fsbacka;Kasjana;1952-1-9;010101
1600;Bmbacki;Trojan;1977-12-9;000111
1601;Sebacki;August;1981-5-24;001111
1602;Aebacki;Bonit;1953-7-20;000001
1603;Aabacka;Kancjanela;1993-6-5;001010
1604;Wcbacki;Dacjan;1964-11-25;000111
1605;Tfbacki;Marceli;1967-3-6;010000
1606;Twbacki;Emil;1967-11-10;010110
1607;Drbacka;Juwencja;1964-9-28;101101
1608;Ogbacki;Kancjusz;1994-9-27;100110
1609;Aabacki;Tarsycjusz;1990-8-27;011011
1610;Plbacki;Honoryn;1955-6-15;011011
1611;Ctbacka;Waleria;1992-1-30;010011
1612;Lsbacki;Maksymin;1983-8-9;101111
1613;Olbacka;Fortunata;1970-11-3;010000
1614;Kfbacka;Pulcheria;1988-3-5;101010
1615;Pibacki;Sulpicjusz;1978-7-13;001111
1616;Rjbacki;Ursyn;1981-1-28;100111
1617;Gwbacka;Lidia;1982-5-16;000000
1618;Olbacki;Tarsycjusz;1989-11-9;001001
1619;Gubacka;Konstantyna;1973-1-26;010010
1620;Tcbacka;Pia;1958-8-17;011001
1621;Ppbacka;Zyta;1950-8-18;000011
1622;Wobacki;Tarcyzjusz;1992-1-14;101110
1623;Aobacka;Klarysa;1971-7-5;011001
1624;Nrbacki;Laurentyn;1983-10-4;110101
1625;Robacki;Remigiusz;1993-5-2;111100
1626;Ribacki;Oktawiusz;1954-1-8;101001
1627;Srbacki;Gawe³;1986-3-2;100000
1628;Hmbacka;Saturnina;1950-10-22;000000
1629;Rcbacki;Dorian;1953-3-16;010011
1630;Hrbacki;Juwenalis;1986-11-23;101101
1631;Blbacka;Innocencja;1984-10-11;011010
1632;Uubacka;Wioleta;1963-7-30;100011
1633;Ahbacki;Tacjan;1959-3-27;010010
1634;Uubacki;Litoriusz;1987-8-14;001111
1635;Tbbacki;Kancjan;1967-1-29;100001
1636;Nsbacki;Ursus;1997-10-28;011010
1637;Eibacka;Gajana;1993-11-17;110101
1638;Wwbacka;Stella;1997-3-20;010100
1639;Enbacka;Fotyna;1994-7-30;110010
1640;Llbacki;Maksencjusz;1959-2-22;110111
1641;Pwbacka;Sewera;1989-4-4;010100
1642;Fnbacki;Wiktor;1969-5-14;111110
1643;Bkbacka;Kandyda;1959-11-4;111010
1644;Wpbacka;Flawia;1954-10-18;111111
1645;Kmbacki;Julian;1974-11-15;100010
1646;Ajbacki;Sabin;1987-2-17;010010
1647;Mpbacka;Liwia;1992-1-7;101010
1648;Rubacka;Nazaria;1978-10-6;110001
1649;Awbacka;Gracja;1963-7-20;011101
1650;Wgbacka;Liliana;1975-2-3;010001
1651;Anbacki;Maksymilian;1958-5-2;001100
1652;Tabacki;Donat;1979-7-31;000001
1653;Njbacki;Wenancjusz;1967-2-6;001001
1654;Shbacki;Remigiusz;1952-9-17;111101
1655;Debacka;Julia;1975-2-18;001111
1656;Udbacka;Paula;1954-8-19;001011
1657;Cebacka;Tyburcja;1960-3-25;000001
1658;Kdbacka;Leontyna;1989-1-26;111100
1659;Pkbacki;Patrycjusz;1990-11-27;100000
1660;Afbacka;Dezyderia;1953-12-20;101110
1661;Oobacka;Emilia;1979-6-11;100010
1662;Fkbacki;Ursyn;1955-3-20;101011
1663;Rlbacka;Konstantyna;1990-2-23;110100
1664;Ckbacki;Remus;1994-11-24;100110
1665;Wfbacka;Klarysa;1979-12-16;000010
1666;Hebacka;Wiola;1962-2-12;111010
1667;Knbacka;Druzjanna;1954-2-6;111001
1668;Rtbacki;Marcjalis;1954-11-18;110110
1669;Gfbacka;Pia;1997-11-20;000111
1670;Rdbacka;Renata;1995-1-25;101001
1671;Stbacka;Wiktoriana;1969-8-15;010001
1672;Hwbacki;German;1955-1-25;111100
1673;Onbacki;Honoriusz;1957-2-21;001100
1674;Crbacka;Placyda;1982-4-16;000110
1675;Wjbacki;Serwacy;1982-1-21;100010
1676;Adbacki;Walenty;1959-6-22;000101
1677;Ptbacka;Paulina;1955-10-18;110110
1678;Lrbacka;Floryna;1966-5-22;010110
1679;Lhbacki;Florentyn;1967-10-31;000000
1680;Psbacka;Natalia;1952-7-16;111011
1681;Nfbacka;Regina;1970-8-25;111101
1682;Robacka;Konkordia;1996-11-23;000110
1683;Dsbacka;Laurencja;1986-5-10;011110
1684;Nnbacka;Tertulia;1984-1-3;001100
1685;Uobacka;Rozalia;1957-1-15;001101
1686;Mwbacki;Seweryn;1954-8-28;100111
1687;Eubacki;B³a¿ej;1956-1-4;110011
1688;Fmbacka;Konstancja;1958-9-4;000110
1689;Wnbacka;Poppea;1992-1-10;001110
1690;Bpbacki;Treweriusz;1959-7-21;100111
1691;Uhbacki;Wirgiliusz;1966-6-10;010111
1692;Mdbacki;Mamertyn;1996-7-31;011011
1693;Sgbacka;Perpetua;1965-10-11;011111
1694;Febacki;Sylwester;1957-6-6;001111
1695;Pmbacka;Lucja;1969-10-2;101100
1696;Rmbacka;Florianna;1976-10-11;111000
1697;Cwbacki;Hortensjusz;1985-12-15;101111
1698;Csbacki;Owidiusz;1958-5-6;001101
1699;Cnbacka;Angelika;1962-7-24;011101
1700;Ambacki;Walery;1975-10-22;010011
1701;Tfbacka;Feliksa;1984-5-13;101100
1702;Prbacki;Fabian;1978-7-15;110111
1703;Hbbacka;Scholastyka;1977-6-19;110010
1704;Ofbacka;Augusta;1986-12-23;010010
1705;Eobacki;Laurencjusz;1955-9-20;011101
1706;Atbacki;Walentyn;1979-1-12;100111
1707;Tdbacki;Serwiusz;1976-11-5;011011
1708;Blbacki;Bonet;1994-6-20;000101
1709;Bkbacki;Renat;1985-2-28;010111
1710;Arbacka;Amanda;1986-6-17;100011
1711;Rebacka;Lucja;1994-9-29;011010
1712;Lrbacki;Lupus;1985-5-22;110100
1713;Nnbacki;Modest;1973-2-7;101111
1714;Pubacki;Terencjusz;1989-1-20;011001
1715;Wabacka;Zyta;1998-12-27;011100
1716;Sbbacka;Dezyderia;1971-2-25;100110
1717;Bdbacka;Flora;1978-9-11;000100
1718;Nwbacki;Sewer;1976-3-31;001011
1719;Nlbacki;Sylwan;1990-11-19;001001
1720;Bcbacki;Walerian;1982-9-7;110101
1721;Esbacka;Wiola;1977-3-6;100101
1722;Sjbacki;Horacy;1994-10-13;100101
1723;Tlbacki;Memiusz;1976-9-14;111100
1724;Glbacki;Bonit;1957-12-5;011000
1725;Sibacka;Humbelina;1953-1-12;110110
1726;Aobacki;Juniusz;1969-6-19;110111
1727;Ekbacka;Wera;1987-9-25;000000
1728;Rwbacka;Auksencja;1964-2-10;110101
1729;Gnbacka;Humbelina;1981-2-26;101100
1730;Sebacka;Innocencja;1951-10-25;000101
1731;Dubacki;Gaudenty;1967-8-25;100011
1732;Rdbacki;Scypion;1977-7-30;000010
1733;Ribacka;Wera;1991-11-8;110111
1734;Libacki;Ursycyn;1980-3-7;001101
1735;Mgbacka;Bonita;1968-4-5;100011
1736;Sdbacki;Horacy;1967-8-30;111110
1737;Chbacki;Klaudian;1950-8-18;100110
1738;Ugbacka;Fawila;1982-11-9;000000
1739;Ckbacka;Konkordia;1995-2-15;001000
1740;Pgbacki;Romulus;1957-1-11;101101
1741;Eubacka;Lawinia;1988-7-14;001100
1742;Pubacka;Florentyna;1952-12-31;011011
1743;Ukbacki;Lupus;1964-1-19;101110
1744;Anbacka;Tarsylia;1951-3-3;100111
1745;Bsbacka;Celestyna;1976-3-1;111000
1746;Nwbacka;Klemencja;1957-11-5;000110
1747;Gebacki;Cyprian;1970-3-10;100011
1748;Eebacki;Fotyn;1983-3-19;100101
1749;Btbacki;Floryn;1987-2-2;100101
1750;Gfbacki;Ursyn;1988-12-28;110010
1751;Pdbacki;Ardalion;1995-3-29;111001
1752;Wmbacka;Flawia;1966-1-25;111011
1753;Snbacka;Leonia;1985-5-9;001010
1754;Kcbacka;Tacjana;1990-4-2;101000
1755;Hlbacka;Antonina;1994-3-18;101110
1756;Krbacka;Fawila;1990-9-29;010110
1757;Wgbacki;Renat;1991-1-4;100100
1758;Tmbacki;Aurelian;1998-9-12;011000
1759;Wubacki;Sabinian;1995-8-15;001011
1760;Skbacka;Waleriana;1959-10-24;001010
1761;Mmbacki;Antoni;1967-9-20;111010
1762;Kbbacki;Cyprian;1958-11-5;110011
1763;Trbacki;Fortunat;1973-11-24;000001
1764;Abbacki;Dorian;1971-7-10;010100
1765;Bmbacka;Fotyna;1959-11-23;011111
1766;Flbacka;Beata;1984-11-8;110111
1767;Gbbacka;Wirydiana;1993-9-23;000010
1768;Kubacka;Laura;1951-5-18;100101
1769;Tebacka;Kasjana;1967-4-21;100100
1770;Elbacki;Florencjusz;1999-2-15;001011
1771;Dibacka;Tuskana;1964-2-16;111011
1772;Ncbacki;Kwadrat;1985-8-29;001100
1773;Dwbacka;Paulina;1973-7-30;111100
1774;Hcbacka;Pia;1992-12-22;011011
1775;Lkbacka;Felicjana;1967-5-18;111110
1776;Lhbacka;Paschalina;1980-10-11;000001
1777;Fbbacka;Saturnina;1980-1-30;110100
1778;Ljbacki;Florentyn;1980-12-27;101001
1779;Tgbacki;Gracjan;1976-12-25;011000
1780;Gpbacki;Sylwiusz;1963-2-22;111110
1781;Frbacki;Klemens;1978-8-22;101101
1782;Ldbacka;Scholastyka;1951-1-18;111001
1783;Dtbacki;Patrycjusz;1972-11-6;110010
1784;Mebacka;Aurelia;1967-5-27;110110
1785;Ndbacki;Dacjan;1965-10-31;010001
1786;Aubacka;Tacjana;1956-3-21;101000
1787;Dkbacki;Balbin;1969-2-16;101001
1788;Tubacka;Florentyna;1993-3-9;011101
1789;Nfbacki;Maksymilian;1988-5-22;110100
1790;Nebacka;Florentyna;1988-2-21;110001
1791;Mubacki;Scypion;1976-3-9;000011
1792;Gcbacka;Dalia;1978-7-10;100111
1793;Kbbacka;Walentyna;1988-4-16;101111
1794;Gcbacki;Wigiliusz;1988-4-16;100100
1795;Lwbacki;Antoni;1981-7-24;100011
1796;Uebacki;Fotyn;1956-4-11;001110
1797;Hsbacki;Klementyn;1956-6-30;010110
1798;Cabacki;Maksencjusz;1970-1-10;001100
1799;Dabacka;Wera;1991-3-28;010011
1800;Wsbacki;Sabinian;1992-1-17;000100
